"[[2, [0, 1]]]","[1, 5]",[0.05 0.95]
"[[2, [0, 1], 1], [2, [0, 1], 5]]","[(3, 0), (3, 4), (3, 2), (1, 0), (1, 4), (1, 2)]",[0.01666667 0.01666667 0.01666667 0.31666667 0.31666667 0.31666667]
"[[2, [0, 1], 1, (3, 0)]]","[0, 4, 2]",[0.33333333 0.33333333 0.33333333]
"[[2, [0, 1], 1, (3, 0), 0], [2, [0, 1], 1, (3, 0), 4], [2, [0, 1], 1, (3, 0), 2], [2, [0, 1], 5, (3, 0), 2], [2, [0, 1], 5, (3, 0), 4]]","[(0, 3), (0, 1), (4, 3), (4, 1)]",[0.25 0.25 0.25 0.25]
"[[2, [0, 1], 1, (3, 4)]]","[0, 4, 2]",[0.33333333 0.33333333 0.33333333]
"[[2, [0, 1], 1, (3, 4), 0], [2, [0, 1], 1, (3, 4), 4], [2, [0, 1], 1, (3, 4), 2], [2, [0, 1], 5, (3, 4), 2], [2, [0, 1], 5, (3, 4), 4]]","[(0, 1), (0, 3), (0, 5), (4, 1), (4, 3), (4, 5)]",[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667]
"[[2, [0, 1], 1, (3, 2)]]","[0, 4, 2]",[0.33333333 0.33333333 0.33333333]
"[[2, [0, 1], 1, (3, 2), 0], [2, [0, 1], 1, (3, 2), 4], [2, [0, 1], 1, (3, 2), 2], [2, [0, 1], 5, (3, 2), 2], [2, [0, 1], 5, (3, 2), 4]]","[(0, 1), (0, 5), (4, 1), (4, 5)]",[0.25 0.25 0.25 0.25]
"[[2, [0, 1], 5, (3, 0)]]","[2, 4]",[0.97368421 0.02631579]
"[[2, [0, 1], 5, (3, 4)]]","[2, 4]",[0.97368421 0.02631579]
"[[2, [0, 1], 5, (3, 2)]]","[2, 4]",[0.97368421 0.02631579]
"[[2, [0, 1], 5, (1, 0)]]","[2, 4]",[0.71052632 0.28947368]
"[[2, [0, 1], 5, (1, 0), 2], [2, [0, 1], 5, (1, 0), 4]]","[(0, 3), (0, 1), (4, 3), (4, 1), (2, 3), (2, 1)]",[0.00877193 0.00877193 0.24937343 0.24937343 0.24185464 0.24185464]
"[[2, [0, 1], 5, (1, 4)]]","[2, 4]",[0.71052632 0.28947368]
"[[2, [0, 1], 5, (1, 4), 2], [2, [0, 1], 5, (1, 4), 4]]","[(0, 1), (0, 3), (0, 5), (4, 1), (4, 3), (4, 5), (2, 1), (2, 3), (2, 5)]","[0.00584795 0.00584795 0.00584795 0.16624896 0.16624896 0.16624896
 0.16123642 0.16123642 0.16123642]"
"[[2, [0, 1], 5, (1, 2)]]","[2, 4]",[0.71052632 0.28947368]
"[[2, [0, 1], 5, (1, 2), 2], [2, [0, 1], 5, (1, 2), 4]]","[(0, 1), (0, 5), (4, 1), (4, 5), (2, 1), (2, 5)]",[0.00877193 0.00877193 0.24937343 0.24937343 0.24185464 0.24185464]
